x,y,is_goal,Assisted,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,OtherBodyPart,shot_distance,period_FirstHalf,period_SecondHalf,Zone_Back,Zone_Center,Zone_Left,Zone_Right
89.4,49.4,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,10.616967551989593,True,False,False,True,False,False
91.4,66.4,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18.51809925451314,True,False,False,True,False,False
90.2,68.5,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,20.935376758014172,True,False,False,True,False,False
92.7,35.6,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,16.144658559412147,True,False,False,True,False,False
83.1,31.9,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.763279265880765,True,False,False,True,False,False
96.1,58.1,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,8.989994438263022,True,False,False,True,False,False
90.2,31.7,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,20.75885353289049,True,False,False,True,False,False
81.2,44.8,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,19.505896544378572,True,False,False,True,False,False
85.8,58.7,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,16.653227915332216,True,False,False,True,False,False
95.5,44.6,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,7.029224708315987,True,False,False,True,False,False
95.9,40.0,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,10.807867504739312,True,False,False,True,False,False
95.8,51.0,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,4.317406628984584,True,False,False,True,False,False
98.2,39.1,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,11.047624178980744,True,False,False,True,False,False
74.0,59.9,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.82103520719529,True,False,False,True,False,False
79.7,60.1,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,22.67377339570985,True,False,False,True,False,False
90.8,64.6,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,17.256882684888367,False,True,False,True,False,False
93.0,53.8,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,7.964923100695949,False,True,False,True,False,False
80.6,50.1,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,19.40025773024679,False,True,False,True,False,False
78.2,71.8,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30.829855659733468,False,True,False,True,False,False
